"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 22 14:55:57 GMT 2023","Fri Sep 22 14:56:42 GMT 2023","44920","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Fri Sep 22 14:59:46 GMT 2023","Fri Sep 22 15:00:30 GMT 2023","44489","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Fri Sep 22 14:51:22 GMT 2023","Fri Sep 22 14:52:22 GMT 2023","59959","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Fri Sep 22 14:54:25 GMT 2023","Fri Sep 22 14:55:10 GMT 2023","45068","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Fri Sep 22 14:53:40 GMT 2023","Fri Sep 22 14:54:25 GMT 2023","45596","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Fri Sep 22 14:57:29 GMT 2023","Fri Sep 22 14:58:14 GMT 2023","44820","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnAuth","TC_11-02-07_05 (UnAuth) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Fri Sep 22 14:56:42 GMT 2023","Fri Sep 22 14:57:27 GMT 2023","44441","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Fri Sep 22 14:58:16 GMT 2023","Fri Sep 22 14:59:01 GMT 2023","45356","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Fri Sep 22 14:48:47 GMT 2023","Fri Sep 22 14:49:37 GMT 2023","49428","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Fri Sep 22 14:50:23 GMT 2023","Fri Sep 22 14:51:09 GMT 2023","45337","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Fri Sep 22 14:59:01 GMT 2023","Fri Sep 22 14:59:46 GMT 2023","44718","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Fri Sep 22 14:52:22 GMT 2023","Fri Sep 22 14:53:37 GMT 2023","75718","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"skipped","Fri Sep 22 14:57:29 GMT 2023","Fri Sep 22 14:57:29 GMT 2023","0","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg)","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"skipped","Fri Sep 22 14:57:29 GMT 2023","Fri Sep 22 14:57:29 GMT 2023","0","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeAuth","TC_11-02-07_05 (Auth)","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Fri Sep 22 14:55:12 GMT 2023","Fri Sep 22 14:55:57 GMT 2023","44722","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Fri Sep 22 14:49:37 GMT 2023","Fri Sep 22 14:50:23 GMT 2023","46142","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] en, gb","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
