"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 29 18:11:53 GMT 2023","Tue Aug 29 18:12:28 GMT 2023","35093","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"passed","Tue Aug 29 18:10:00 GMT 2023","Tue Aug 29 18:10:48 GMT 2023","48018","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"failed","Tue Aug 29 18:21:11 GMT 2023","Tue Aug 29 18:21:52 GMT 2023","40504","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Tue Aug 29 18:11:22 GMT 2023","Tue Aug 29 18:11:50 GMT 2023","28648","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Tue Aug 29 18:16:34 GMT 2023","Tue Aug 29 18:17:01 GMT 2023","26924","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"passed","Tue Aug 29 18:19:18 GMT 2023","Tue Aug 29 18:19:57 GMT 2023","38146","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnAuth","TC_11-02-07_05 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Tue Aug 29 18:12:28 GMT 2023","Tue Aug 29 18:13:46 GMT 2023","77953","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"failed","Tue Aug 29 18:17:01 GMT 2023","Tue Aug 29 18:17:39 GMT 2023","37822","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"failed","Tue Aug 29 18:19:58 GMT 2023","Tue Aug 29 18:20:41 GMT 2023","42681","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Tue Aug 29 18:18:52 GMT 2023","Tue Aug 29 18:19:18 GMT 2023","26732","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Tue Aug 29 18:20:41 GMT 2023","Tue Aug 29 18:21:11 GMT 2023","29874","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Tue Aug 29 18:18:14 GMT 2023","Tue Aug 29 18:18:52 GMT 2023","37414","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeAuth","TC_11-02-07_05 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Tue Aug 29 18:17:39 GMT 2023","Tue Aug 29 18:18:12 GMT 2023","33077","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"passed","Tue Aug 29 18:10:49 GMT 2023","Tue Aug 29 18:11:22 GMT 2023","32791","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Tue Aug 29 18:15:24 GMT 2023","Tue Aug 29 18:16:32 GMT 2023","68180","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"passed","Tue Aug 29 18:14:29 GMT 2023","Tue Aug 29 18:15:24 GMT 2023","54417","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
