"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 22 16:56:34 GMT 2023","Tue Aug 22 16:56:57 GMT 2023","22822","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Tue Aug 22 16:57:49 GMT 2023","Tue Aug 22 16:57:54 GMT 2023","4894","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Tue Aug 22 16:57:10 GMT 2023","Tue Aug 22 16:57:15 GMT 2023","4780","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Tue Aug 22 16:55:07 GMT 2023","Tue Aug 22 16:55:26 GMT 2023","18647","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Tue Aug 22 16:57:05 GMT 2023","Tue Aug 22 16:57:10 GMT 2023","4881","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Tue Aug 22 16:57:17 GMT 2023","Tue Aug 22 16:57:22 GMT 2023","4841","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Tue Aug 22 16:57:22 GMT 2023","Tue Aug 22 16:57:26 GMT 2023","4557","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Tue Aug 22 16:57:33 GMT 2023","Tue Aug 22 16:57:38 GMT 2023","4915","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeAuth","TC_11-02-07_05 (Auth) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Tue Aug 22 16:57:38 GMT 2023","Tue Aug 22 16:57:42 GMT 2023","4621","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Tue Aug 22 16:56:58 GMT 2023","Tue Aug 22 16:57:03 GMT 2023","4989","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Tue Aug 22 16:54:57 GMT 2023","Tue Aug 22 16:55:06 GMT 2023","9371","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Tue Aug 22 16:57:27 GMT 2023","Tue Aug 22 16:57:31 GMT 2023","4306","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Tue Aug 22 16:57:54 GMT 2023","Tue Aug 22 16:57:59 GMT 2023","5193","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Tue Aug 22 16:55:26 GMT 2023","Tue Aug 22 16:55:51 GMT 2023","24592","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Tue Aug 22 16:57:43 GMT 2023","Tue Aug 22 16:57:47 GMT 2023","4290","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnAuth","TC_11-02-07_05 (UnAuth) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Tue Aug 22 16:57:59 GMT 2023","Tue Aug 22 16:58:04 GMT 2023","4679","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] fr, France","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
