"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 19 17:24:19 GMT 2023","Sat Aug 19 17:24:32 GMT 2023","13483","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Sat Aug 19 17:23:35 GMT 2023","Sat Aug 19 17:23:49 GMT 2023","13416","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Sat Aug 19 17:25:58 GMT 2023","Sat Aug 19 17:26:11 GMT 2023","12877","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Sat Aug 19 17:24:32 GMT 2023","Sat Aug 19 17:24:46 GMT 2023","13293","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"skipped","Sat Aug 19 17:25:29 GMT 2023","Sat Aug 19 17:25:29 GMT 2023","0","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg)","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Sat Aug 19 17:25:44 GMT 2023","Sat Aug 19 17:25:58 GMT 2023","13731","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Sat Aug 19 17:24:04 GMT 2023","Sat Aug 19 17:24:18 GMT 2023","13377","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Sat Aug 19 17:23:04 GMT 2023","Sat Aug 19 17:23:22 GMT 2023","17990","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Sat Aug 19 17:23:50 GMT 2023","Sat Aug 19 17:24:04 GMT 2023","13646","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Sat Aug 19 17:25:30 GMT 2023","Sat Aug 19 17:25:44 GMT 2023","13546","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Sat Aug 19 17:25:15 GMT 2023","Sat Aug 19 17:25:28 GMT 2023","13077","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Sat Aug 19 17:24:47 GMT 2023","Sat Aug 19 17:25:01 GMT 2023","14091","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Sat Aug 19 17:23:22 GMT 2023","Sat Aug 19 17:23:35 GMT 2023","13138","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Sat Aug 19 17:25:01 GMT 2023","Sat Aug 19 17:25:15 GMT 2023","13604","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] it, Italy","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
