"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 10 20:11:56 GMT 2023","Thu Aug 10 20:12:53 GMT 2023","57632","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] en, ?country=gb","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Thu Aug 10 20:18:42 GMT 2023","Thu Aug 10 20:19:48 GMT 2023","66306","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] en, ?country=gb","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Thu Aug 10 20:17:33 GMT 2023","Thu Aug 10 20:18:42 GMT 2023","69338","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] en, ?country=gb","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Thu Aug 10 20:14:59 GMT 2023","Thu Aug 10 20:16:28 GMT 2023","89114","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] en, ?country=gb","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"skipped","Thu Aug 10 20:11:14 GMT 2023","Thu Aug 10 20:11:14 GMT 2023","15","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","startTradingUnReg","TC_11-02-07_06 (UnReg)","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Thu Aug 10 20:12:53 GMT 2023","Thu Aug 10 20:14:03 GMT 2023","69481","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] en, ?country=gb","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Thu Aug 10 20:14:05 GMT 2023","Thu Aug 10 20:14:59 GMT 2023","53337","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] en, ?country=gb","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
