"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 11 17:29:23 GMT 2023","Mon Sep 11 17:29:59 GMT 2023","35933","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Mon Sep 11 17:35:32 GMT 2023","Mon Sep 11 17:36:10 GMT 2023","37868","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Mon Sep 11 17:28:38 GMT 2023","Mon Sep 11 17:29:23 GMT 2023","44222","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Mon Sep 11 17:30:01 GMT 2023","Mon Sep 11 17:30:28 GMT 2023","27476","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"passed","Mon Sep 11 17:37:40 GMT 2023","Mon Sep 11 17:38:08 GMT 2023","27288","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"failed","Mon Sep 11 17:38:08 GMT 2023","Mon Sep 11 17:38:49 GMT 2023","41144","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Mon Sep 11 17:33:35 GMT 2023","Mon Sep 11 17:34:23 GMT 2023","47567","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"failed","Mon Sep 11 17:32:54 GMT 2023","Mon Sep 11 17:33:35 GMT 2023","41817","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"passed","Mon Sep 11 17:30:29 GMT 2023","Mon Sep 11 17:31:10 GMT 2023","41295","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"passed","Mon Sep 11 17:31:12 GMT 2023","Mon Sep 11 17:31:40 GMT 2023","27801","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"passed","Mon Sep 11 17:32:25 GMT 2023","Mon Sep 11 17:32:53 GMT 2023","28573","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"passed","Mon Sep 11 17:36:10 GMT 2023","Mon Sep 11 17:37:01 GMT 2023","51362","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnAuth","TC_11-02-07_05 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Mon Sep 11 17:31:40 GMT 2023","Mon Sep 11 17:32:22 GMT 2023","42045","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"passed","Mon Sep 11 17:27:41 GMT 2023","Mon Sep 11 17:28:38 GMT 2023","56855","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"failed","Mon Sep 11 17:34:32 GMT 2023","Mon Sep 11 17:35:32 GMT 2023","60128","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeAuth","TC_11-02-07_05 (Auth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Mon Sep 11 17:37:03 GMT 2023","Mon Sep 11 17:37:40 GMT 2023","37634","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
