"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 28 17:09:00 GMT 2023","Mon Aug 28 17:09:04 GMT 2023","4261","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Mon Aug 28 17:09:47 GMT 2023","Mon Aug 28 17:09:50 GMT 2023","2794","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Mon Aug 28 17:09:06 GMT 2023","Mon Aug 28 17:09:09 GMT 2023","3257","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeAuth","TC_11-02-07_05 (Auth) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Mon Aug 28 17:07:32 GMT 2023","Mon Aug 28 17:07:35 GMT 2023","2985","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Mon Aug 28 17:07:21 GMT 2023","Mon Aug 28 17:07:26 GMT 2023","4980","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Mon Aug 28 17:09:09 GMT 2023","Mon Aug 28 17:09:36 GMT 2023","26619","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Mon Aug 28 17:08:27 GMT 2023","Mon Aug 28 17:08:30 GMT 2023","3228","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Mon Aug 28 17:09:44 GMT 2023","Mon Aug 28 17:09:47 GMT 2023","3071","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Mon Aug 28 17:08:30 GMT 2023","Mon Aug 28 17:08:59 GMT 2023","29261","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Mon Aug 28 17:07:18 GMT 2023","Mon Aug 28 17:07:21 GMT 2023","3228","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Mon Aug 28 17:07:40 GMT 2023","Mon Aug 28 17:08:25 GMT 2023","44780","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Mon Aug 28 17:07:28 GMT 2023","Mon Aug 28 17:07:31 GMT 2023","3136","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Mon Aug 28 17:09:40 GMT 2023","Mon Aug 28 17:09:44 GMT 2023","3174","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Mon Aug 28 17:07:37 GMT 2023","Mon Aug 28 17:07:40 GMT 2023","3220","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Mon Aug 28 17:07:08 GMT 2023","Mon Aug 28 17:07:17 GMT 2023","9009","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Mon Aug 28 17:09:36 GMT 2023","Mon Aug 28 17:09:39 GMT 2023","2922","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnAuth","TC_11-02-07_05 (UnAuth) [1] de, de","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
