"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 03 21:16:36 GMT 2023","Sun Sep 03 21:17:15 GMT 2023","38701","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"passed","Sun Sep 03 21:21:25 GMT 2023","Sun Sep 03 21:21:52 GMT 2023","27207","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"failed","Sun Sep 03 21:19:10 GMT 2023","Sun Sep 03 21:20:01 GMT 2023","51376","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Sun Sep 03 21:14:25 GMT 2023","Sun Sep 03 21:14:53 GMT 2023","27536","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Sun Sep 03 21:14:53 GMT 2023","Sun Sep 03 21:15:21 GMT 2023","28245","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"passed","Sun Sep 03 21:15:24 GMT 2023","Sun Sep 03 21:15:52 GMT 2023","28038","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Sun Sep 03 21:18:24 GMT 2023","Sun Sep 03 21:19:10 GMT 2023","46089","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeAuth","TC_11-02-07_05 (Auth) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Sun Sep 03 21:12:08 GMT 2023","Sun Sep 03 21:13:14 GMT 2023","66060","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Sun Sep 03 21:20:01 GMT 2023","Sun Sep 03 21:20:48 GMT 2023","46236","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnAuth","TC_11-02-07_05 (UnAuth) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Sun Sep 03 21:20:49 GMT 2023","Sun Sep 03 21:21:25 GMT 2023","35590","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Sun Sep 03 21:13:14 GMT 2023","Sun Sep 03 21:13:51 GMT 2023","36901","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Sun Sep 03 21:17:32 GMT 2023","Sun Sep 03 21:18:22 GMT 2023","49705","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"passed","Sun Sep 03 21:13:51 GMT 2023","Sun Sep 03 21:14:23 GMT 2023","32010","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Sun Sep 03 21:15:52 GMT 2023","Sun Sep 03 21:16:31 GMT 2023","39314","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Sun Sep 03 21:17:15 GMT 2023","Sun Sep 03 21:17:32 GMT 2023","17049","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"failed","Sun Sep 03 21:21:52 GMT 2023","Sun Sep 03 21:22:31 GMT 2023","39049","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] cn, hk","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
