"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","2","0","0","0"
"tests.US_11_Education.11-02-07_ETF_trading","US_11-02-07_ETF_trading","TestETFTrading","0","0","1","1","0"
