"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 22 17:03:54 GMT 2023","Fri Sep 22 17:04:19 GMT 2023","25194","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"passed","Fri Sep 22 17:04:19 GMT 2023","Fri Sep 22 17:04:56 GMT 2023","36558","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"passed","Fri Sep 22 16:58:33 GMT 2023","Fri Sep 22 16:59:28 GMT 2023","54808","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Fri Sep 22 17:09:21 GMT 2023","Fri Sep 22 17:09:47 GMT 2023","25599","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Fri Sep 22 17:04:57 GMT 2023","Fri Sep 22 17:05:23 GMT 2023","25264","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"failed","Fri Sep 22 17:09:47 GMT 2023","Fri Sep 22 17:10:23 GMT 2023","36525","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Fri Sep 22 17:01:25 GMT 2023","Fri Sep 22 17:02:16 GMT 2023","51275","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"passed","Fri Sep 22 17:08:01 GMT 2023","Fri Sep 22 17:08:47 GMT 2023","45287","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnAuth","TC_11-02-07_05 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Fri Sep 22 17:06:00 GMT 2023","Fri Sep 22 17:06:31 GMT 2023","31004","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"failed","Fri Sep 22 17:06:33 GMT 2023","Fri Sep 22 17:07:25 GMT 2023","52116","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeAuth","TC_11-02-07_05 (Auth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Fri Sep 22 17:02:17 GMT 2023","Fri Sep 22 17:03:45 GMT 2023","88880","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"passed","Fri Sep 22 17:07:26 GMT 2023","Fri Sep 22 17:08:01 GMT 2023","35819","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Fri Sep 22 16:59:29 GMT 2023","Fri Sep 22 17:00:11 GMT 2023","41891","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Fri Sep 22 17:00:11 GMT 2023","Fri Sep 22 17:00:46 GMT 2023","34948","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Fri Sep 22 17:08:48 GMT 2023","Fri Sep 22 17:09:21 GMT 2023","33177","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"failed","Fri Sep 22 17:05:23 GMT 2023","Fri Sep 22 17:06:00 GMT 2023","37729","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] ar, ae","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
