"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 03 17:01:08 GMT 2023","Thu Aug 03 17:01:36 GMT 2023","28059","","US_11_02_07.TradeTest","","US_11_02_07.TradeTest","tradeUnReg","TC_11-02-07_02 (UnReg) [1] en, ?country=gb","Check: Education > Menu Item [ETF trading] > Test button [Trade]"
"passed","Thu Aug 03 17:00:33 GMT 2023","Thu Aug 03 17:01:06 GMT 2023","32451","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logIn","TC_11-02-07_01 (NoReg) [1] en, ?country=gb","Check: Education > Menu Item [ETF trading] > Test button [Log in]"
"skipped","Thu Aug 03 17:01:36 GMT 2023","Thu Aug 03 17:01:36 GMT 2023","0","","US_11_02_07.TradeTest","","US_11_02_07.TradeTest","tradeUnAuth","TC_11-02-07_02 (UnAuth)","Check: Education > Menu Item [ETF trading] > Test button [Trade]"
