"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 29 18:47:30 GMT 2023","Tue Aug 29 18:47:58 GMT 2023","27704","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"failed","Tue Aug 29 18:53:23 GMT 2023","Tue Aug 29 18:54:06 GMT 2023","43132","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Tue Aug 29 18:42:55 GMT 2023","Tue Aug 29 18:44:11 GMT 2023","76052","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Tue Aug 29 18:46:22 GMT 2023","Tue Aug 29 18:46:50 GMT 2023","27380","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"passed","Tue Aug 29 18:51:36 GMT 2023","Tue Aug 29 18:52:15 GMT 2023","39464","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnAuth","TC_11-02-07_05 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"failed","Tue Aug 29 18:49:08 GMT 2023","Tue Aug 29 18:49:47 GMT 2023","39697","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"passed","Tue Aug 29 18:46:50 GMT 2023","Tue Aug 29 18:47:28 GMT 2023","38261","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"passed","Tue Aug 29 18:51:06 GMT 2023","Tue Aug 29 18:51:36 GMT 2023","29491","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Tue Aug 29 18:52:17 GMT 2023","Tue Aug 29 18:52:53 GMT 2023","36009","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Tue Aug 29 18:45:50 GMT 2023","Tue Aug 29 18:46:20 GMT 2023","29822","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Tue Aug 29 18:44:12 GMT 2023","Tue Aug 29 18:45:50 GMT 2023","98429","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Tue Aug 29 18:47:58 GMT 2023","Tue Aug 29 18:48:37 GMT 2023","39691","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"passed","Tue Aug 29 18:49:47 GMT 2023","Tue Aug 29 18:50:23 GMT 2023","35688","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"passed","Tue Aug 29 18:52:53 GMT 2023","Tue Aug 29 18:53:23 GMT 2023","29800","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Tue Aug 29 18:48:39 GMT 2023","Tue Aug 29 18:49:07 GMT 2023","28125","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"failed","Tue Aug 29 18:50:25 GMT 2023","Tue Aug 29 18:51:06 GMT 2023","40865","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeAuth","TC_11-02-07_05 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
