"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Dec 02 17:42:19 GMT 2023","Sat Dec 02 17:42:19 GMT 2023","0","","US_11_02_07.FreeTrialTest","","US_11_02_07.FreeTrialTest","freeTrialAuth","TC_11-02-07_09 (Auth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Free Trial]"
"skipped","Sat Dec 02 17:42:42 GMT 2023","Sat Dec 02 17:42:42 GMT 2023","0","","US_11_02_07.PracticeForFreeTest","","US_11_02_07.PracticeForFreeTest","practiceForFreeUnReg","TC_11-02-07_10 (UnReg) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Practice for free]"
"broken","Sat Dec 02 17:42:07 GMT 2023","Sat Dec 02 17:42:17 GMT 2023","9799","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"skipped","Sat Dec 02 17:41:39 GMT 2023","Sat Dec 02 17:41:39 GMT 2023","0","","US_11_02_07.CreateAccountTest","","US_11_02_07.CreateAccountTest","createAccountUnAuth","TC_11-02-07_07 (UnAuth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Create account]"
"broken","Sat Dec 02 17:44:21 GMT 2023","Sat Dec 02 17:44:30 GMT 2023","9618","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Sat Dec 02 17:43:59 GMT 2023","Sat Dec 02 17:44:09 GMT 2023","9627","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnAuth","TC_11-02-07_05 (UnAuth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"skipped","Sat Dec 02 17:41:39 GMT 2023","Sat Dec 02 17:41:39 GMT 2023","0","","US_11_02_07.CreateAccountTest","","US_11_02_07.CreateAccountTest","createAccountAuth","TC_11-02-07_07 (Auth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Create account]"
"broken","Sat Dec 02 17:44:30 GMT 2023","Sat Dec 02 17:44:40 GMT 2023","9652","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Sat Dec 02 17:42:54 GMT 2023","Sat Dec 02 17:43:04 GMT 2023","9884","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Sat Dec 02 17:42:31 GMT 2023","Sat Dec 02 17:42:41 GMT 2023","9784","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Sat Dec 02 17:41:40 GMT 2023","Sat Dec 02 17:41:57 GMT 2023","17081","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Sat Dec 02 17:41:57 GMT 2023","Sat Dec 02 17:42:07 GMT 2023","9957","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"skipped","Sat Dec 02 17:41:39 GMT 2023","Sat Dec 02 17:41:39 GMT 2023","0","","US_11_02_07.CreateAccountTest","","US_11_02_07.CreateAccountTest","createAccountUnReg","TC_11-02-07_07 (UnReg) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Create account]"
"broken","Sat Dec 02 17:44:10 GMT 2023","Sat Dec 02 17:44:21 GMT 2023","10899","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"skipped","Sat Dec 02 17:42:19 GMT 2023","Sat Dec 02 17:42:19 GMT 2023","0","","US_11_02_07.FreeTrialTest","","US_11_02_07.FreeTrialTest","freeTrialUnAuth","TC_11-02-07_09 (UnAuth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Free Trial]"
"skipped","Sat Dec 02 17:42:19 GMT 2023","Sat Dec 02 17:42:19 GMT 2023","0","","US_11_02_07.FreeTrialTest","","US_11_02_07.FreeTrialTest","freeTrialUnReg","TC_11-02-07_09 (UnReg) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Free Trial]"
"broken","Sat Dec 02 17:43:37 GMT 2023","Sat Dec 02 17:43:49 GMT 2023","11550","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeAuth","TC_11-02-07_05 (Auth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Sat Dec 02 17:43:26 GMT 2023","Sat Dec 02 17:43:36 GMT 2023","9735","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"skipped","Sat Dec 02 17:42:42 GMT 2023","Sat Dec 02 17:42:42 GMT 2023","0","","US_11_02_07.PracticeForFreeTest","","US_11_02_07.PracticeForFreeTest","practiceForFreeUnAuth","TC_11-02-07_10 (UnAuth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Free Trial]"
"broken","Sat Dec 02 17:43:49 GMT 2023","Sat Dec 02 17:43:59 GMT 2023","10304","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Sat Dec 02 17:43:16 GMT 2023","Sat Dec 02 17:43:26 GMT 2023","9696","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"skipped","Sat Dec 02 17:42:18 GMT 2023","Sat Dec 02 17:42:18 GMT 2023","0","","US_11_02_07.FreeDemoAccountTest","","US_11_02_07.FreeDemoAccountTest","freeDemoAccountUnAuth","TC_11-02-07_08 (UnAuth) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [Free demo account]"
"broken","Sat Dec 02 17:42:43 GMT 2023","Sat Dec 02 17:42:54 GMT 2023","11005","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] it, ae","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
