"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 29 17:05:13 GMT 2023","Tue Aug 29 17:05:41 GMT 2023","28287","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"failed","Tue Aug 29 17:07:27 GMT 2023","Tue Aug 29 17:08:05 GMT 2023","37651","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Tue Aug 29 17:00:48 GMT 2023","Tue Aug 29 17:01:14 GMT 2023","25769","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"failed","Tue Aug 29 17:01:28 GMT 2023","Tue Aug 29 17:02:06 GMT 2023","37787","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"passed","Tue Aug 29 17:05:41 GMT 2023","Tue Aug 29 17:06:21 GMT 2023","39754","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnAuth","TC_11-02-07_05 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Tue Aug 29 16:57:48 GMT 2023","Tue Aug 29 16:58:34 GMT 2023","46286","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Tue Aug 29 17:00:07 GMT 2023","Tue Aug 29 17:00:46 GMT 2023","39709","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"passed","Tue Aug 29 16:58:35 GMT 2023","Tue Aug 29 16:59:10 GMT 2023","34292","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"passed","Tue Aug 29 17:02:06 GMT 2023","Tue Aug 29 17:03:07 GMT 2023","60897","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Tue Aug 29 17:01:14 GMT 2023","Tue Aug 29 17:01:20 GMT 2023","6044","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Tue Aug 29 17:03:40 GMT 2023","Tue Aug 29 17:05:13 GMT 2023","93223","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeAuth","TC_11-02-07_05 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"passed","Tue Aug 29 17:06:23 GMT 2023","Tue Aug 29 17:07:00 GMT 2023","37355","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Tue Aug 29 16:59:40 GMT 2023","Tue Aug 29 17:00:07 GMT 2023","26244","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"broken","Tue Aug 29 17:01:22 GMT 2023","Tue Aug 29 17:01:28 GMT 2023","6134","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"passed","Tue Aug 29 17:07:00 GMT 2023","Tue Aug 29 17:07:27 GMT 2023","26862","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"passed","Tue Aug 29 16:59:10 GMT 2023","Tue Aug 29 16:59:39 GMT 2023","28961","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] es, es","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
