"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Sep 02 16:25:02 GMT 2023","Sat Sep 02 16:25:24 GMT 2023","21263","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountAuth","TC_11-02-07_06 (Auth) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"skipped","Sat Sep 02 16:25:56 GMT 2023","Sat Sep 02 16:26:27 GMT 2023","31195","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnReg","TC_11-02-07_01 (UnReg) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"skipped","Sat Sep 02 16:26:50 GMT 2023","Sat Sep 02 16:27:21 GMT 2023","31198","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnReg","TC_11-02-07_02 (UnReg) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"broken","Sat Sep 02 16:28:58 GMT 2023","Sat Sep 02 16:29:19 GMT 2023","21218","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeAuth","TC_11-02-07_05 (Auth) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Sat Sep 02 16:24:40 GMT 2023","Sat Sep 02 16:25:02 GMT 2023","21396","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnAuth","TC_11-02-07_06 (UnAuth) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Sat Sep 02 16:27:21 GMT 2023","Sat Sep 02 16:27:42 GMT 2023","21190","","US_11_02_07.SignUpTest","","US_11_02_07.SignUpTest","signUpUnAuth","TC_11-02-07_02 (UnAuth) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [SignUp]"
"skipped","Sat Sep 02 16:29:19 GMT 2023","Sat Sep 02 16:29:50 GMT 2023","31157","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnReg","TC_11-02-07_05 (UnReg) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"skipped","Sat Sep 02 16:25:24 GMT 2023","Sat Sep 02 16:25:55 GMT 2023","31136","","US_11_02_07.CreateVerifyYourAccountTest","","US_11_02_07.CreateVerifyYourAccountTest","createVerifyYourAccountUnReg","TC_11-02-07_06 (UnReg) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [Create & verify your account]"
"broken","Sat Sep 02 16:26:27 GMT 2023","Sat Sep 02 16:26:48 GMT 2023","21258","","US_11_02_07.LogInTest","","US_11_02_07.LogInTest","logInUnAuth","TC_11-02-07_01 (UnAuth) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [LogIn]"
"skipped","Sat Sep 02 16:27:43 GMT 2023","Sat Sep 02 16:28:14 GMT 2023","31194","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingUnReg","TC_11-02-07_03 (UnReg) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Sat Sep 02 16:29:50 GMT 2023","Sat Sep 02 16:30:12 GMT 2023","21232","","US_11_02_07.TradeOnWidgetTest","","US_11_02_07.TradeOnWidgetTest","tradeUnAuth","TC_11-02-07_05 (UnAuth) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [Trade] on Widget 'Most Traded'"
"broken","Sat Sep 02 16:30:13 GMT 2023","Sat Sep 02 16:30:34 GMT 2023","21285","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoAuth","TC_11-02-07_04 (Auth) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"skipped","Sat Sep 02 16:30:34 GMT 2023","Sat Sep 02 16:31:05 GMT 2023","31119","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnReg","TC_11-02-07_04 (UnReg) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
"broken","Sat Sep 02 16:28:14 GMT 2023","Sat Sep 02 16:28:36 GMT 2023","21229","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","StartTradingUnAuth","TC_11-02-07_03 (UnAuth) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Sat Sep 02 16:28:36 GMT 2023","Sat Sep 02 16:28:57 GMT 2023","21256","","US_11_02_07.StartTradingTest","","US_11_02_07.StartTradingTest","startTradingAuth","TC_11-02-07_03 (Auth) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [StartTrading]"
"broken","Sat Sep 02 16:31:05 GMT 2023","Sat Sep 02 16:31:26 GMT 2023","21202","","US_11_02_07.TryDemoTest","","US_11_02_07.TryDemoTest","tryDemoUnAuth","TC_11-02-07_04 (UnAuth) [1] pl, pl","Check: Education > Menu Item [ETF trading] > Test button [TryDemo]"
